Date,Price,Volume,pct_change
2015-01-08,205.89999389648438,147217800.0,0.01774502684599597
2015-01-09,204.25,158567300.0,-0.008013569428826233
2015-01-12,202.64999389648438,144396100.0,-0.007833567214274785
2015-01-13,202.0800018310547,214553300.0,-0.002812692240794466
2015-01-14,200.86000061035156,192991100.0,-0.006037218970945403
2015-01-15,199.02000427246094,176613900.0,-0.009160591119682584
2015-01-16,201.6300048828125,211879600.0,0.013114262658634246
2015-01-20,202.05999755859375,130991100.0,0.0021325827772070037
2015-01-21,203.0800018310547,122942700.0,0.0050480267484174085
2015-01-22,206.10000610351562,174356000.0,0.014871007707461636
2015-01-23,204.97000122070312,117516800.0,-0.005482798880874097
2015-01-26,205.4499969482422,92009700.0,0.0023417852596986774
2015-01-27,202.74000549316406,134044600.0,-0.013190515917899173
2015-01-28,200.13999938964844,168514300.0,-0.012824336751846894
2015-01-29,201.99000549316406,173585400.0,0.009243560053749607
2015-01-30,199.4499969482422,197729700.0,-0.012574921906261527
2015-02-02,201.9199981689453,163107000.0,0.012384062464258131
2015-02-03,204.83999633789062,124212900.0,0.014461163804598328
2015-02-04,204.05999755859375,134306700.0,-0.0038078441380668656
2015-02-05,206.1199951171875,97953200.0,0.010095058234048262
2015-02-06,205.5500030517578,125672000.0,-0.002765340961247472
2015-02-09,204.6300048828125,87219000.0,-0.004475787668627062
2015-02-10,206.80999755859375,96164200.0,0.010653338336328966
2015-02-11,206.92999267578125,91087800.0,0.0005802191315896263
2015-02-12,208.9199981689453,97545900.0,0.009616805507174647
2015-02-13,209.77999877929688,93670400.0,0.004116411152062687
2015-02-17,210.11000061035156,76968200.0,0.0015730852939982727
2015-02-18,210.1300048828125,80652900.0,9.520856885834468e-05
2015-02-19,209.97999572753906,91462500.0,-0.0007138873639540254
2015-02-20,211.24000549316406,140896400.0,0.006000618112498364
2015-02-23,211.2100067138672,74411100.0,-0.00014201277464862493
2015-02-24,211.80999755859375,72472300.0,0.002840731147456422
2015-02-25,211.6300048828125,73061700.0,-0.0008497836639248248
2015-02-26,211.3800048828125,72697900.0,-0.001181306970807067
2015-02-27,210.66000366210938,108076000.0,-0.0034061936042734425
2015-03-02,211.99000549316406,87491400.0,0.006313499515493979
2015-03-03,211.1199951171875,110325800.0,-0.0041040160075122845
2015-03-04,210.22999572753906,114497200.0,-0.004215609180714602
2015-03-05,210.4600067138672,76873000.0,0.0010940921419521047
2015-03-06,207.5,188128000.0,-0.014064461747791785
2015-03-09,208.36000061035156,89818900.0,0.004144581254706325
2015-03-10,204.97999572753906,157121300.0,-0.016221946980761227
2015-03-11,204.5,110145700.0,-0.0023416710778796017
2015-03-12,207.10000610351562,93993500.0,0.012713966276360025
2015-03-13,205.8300018310547,162410900.0,-0.006132323684366027
2015-03-16,208.5800018310547,136099200.0,0.013360540132809214
2015-03-17,207.9600067138672,94510400.0,-0.002972457147112707
2015-03-18,210.4600067138672,228808500.0,0.012021542216238518
2015-03-19,209.5,117917300.0,-0.004561468608011466
2015-03-20,210.41000366210938,177715100.0,0.004343692897896778
2015-03-23,210.0,71784500.0,-0.0019485939592862069
2015-03-24,208.82000732421875,77805300.0,-0.005619012741815476
2015-03-25,205.75999450683594,159521700.0,-0.014653829662172964
2015-03-26,205.27000427246094,153067200.0,-0.0023813678433915447
2015-03-27,205.74000549316406,118939000.0,0.002289673166661401
2015-03-30,208.25,96180400.0,0.01219983688062716
2015-03-31,206.42999267578125,126768700.0,-0.008739530968637456
2015-04-01,205.6999969482422,137303600.0,-0.0035362871357826043
2015-04-02,206.44000244140625,86900900.0,0.0035974988047776254
2015-04-06,207.8300018310547,114368200.0,0.006733188205822465
2015-04-07,207.27999877929688,81236300.0,-0.0026464083477462067
2015-04-08,207.97999572753906,89351900.0,0.003377059785626085
2015-04-09,208.89999389648438,85548900.0,0.004423493546708895
2015-04-10,210.0399932861328,72722900.0,0.005457153771930401
